trial_name,first_contact_row,takeoff_row,second_contact_row,ground_contact_time,flight_time_ms,jump_height,rsi,trial_height,drop_time,est_step_off,max_ch1_rms_pre,max_ch2_rms_pre,max_ch1_rms_pre_row,max_ch2_rms_pre_row,ch1_preactivation,ch2_preactivation,max_ch1_rms_ground,max_ch2_rms_ground,max_ch1_rms_ground_row,max_ch2_rms_ground_row,ch1_ground_activation,ch2_ground_activation,ch1_percent_preactivation,ch2_percent_preactivation
Dynamic22,6048,6731,7620,683,889,0.9691311262500001,1.418932834919473,0.9144,431.77,5616,2.609809053901295e-05,0.0001947423368863455,6029,5971,19,77,0.00010580397591761934,0.00021812896694221848,6214,6572,166,524,432,372
Dynamic23,5082,5982,7006,900,1024,1.28581632,1.4286847999999999,0.9144,431.77,4650,2.6190419608080634e-05,0.00014308220301642038,5082,5065,0,17,6.538638150705867e-05,0.00019946908104070417,5312,5833,230,751,180,335
Dynamic24,4848,5434,6390,586,956,1.12071402,1.9124812627986352,0.9144,431.77,4416,3.741949024913912e-05,0.00016143054546310454,4835,4760,13,88,0.00011597062475230266,0.000140194249112402,5149,5265,301,417,107,328
Dynamic25,4318,4960,5930,642,970,1.153778625,1.7971629672897196,0.9144,431.77,3886,3.187774030909652e-05,0.00014887502812933765,4316,4246,2,72,0.00011415682287507752,0.0001390825048553639,4667,4851,349,533,129,231
Dynamic26,4040,4691,5643,651,952,1.11135528,1.7071509677419354,0.9144,431.77,3608,5.0984401973534006e-05,0.00010450177918386013,4040,4019,0,21,9.423230909851363e-05,0.00013336055043109245,4364,4512,324,472,326,113
Dynamic27,3835,4506,5492,671,986,1.192155345,1.7766845678092398,0.9144,431.77,3403,3.0458977459699978e-05,0.00011703027524330582,3835,3770,0,65,9.415403655707335e-05,0.00015181862779913528,4057,4388,222,553,72,287
Dynamic28,4693,5356,6313,663,957,1.12305983625,1.6939062386877826,0.9144,431.77,4261,7.001031982578474e-05,0.00012283480152730557,4693,4613,0,80,9.767707975536854e-05,0.00017088638527389582,4851,5229,158,536,121,314
Dynamic29,4130,4816,5744,686,928,1.0560268800000001,1.5393977842565598,0.9144,431.77,3698,5.1117846893883965e-05,0.00011074398883139718,4130,4073,0,57,0.00010003962706635725,0.00018283356947720688,4409,4631,279,501,117,274
Dynamic30,4603,5268,6226,665,958,1.125408105,1.692343015037594,0.9144,431.77,4171,4.891671099765478e-05,9.387723208109086e-05,4603,4575,0,28,8.588729541849159e-05,0.00014056462291642553,5111,5122,508,519,81,191
Dynamic31,4603,5270,6193,667,923,1.04467793625,1.5662337874812593,0.9144,431.77,4171,4.583094115075763e-05,6.72353621280827e-05,4602,4515,1,88,0.00010962637168528125,0.0001373799419246255,4911,5094,308,491,371,405
Dynamic32,4246,4786,5710,540,924,1.0469428200000002,1.9387830000000001,0.635,359.81,3886,1.6999983988547135e-05,9.389591288446414e-05,4246,4242,0,4,0.00010323672666832856,0.00013661645296073264,4402,4632,156,386,360,198
Dynamic33,4592,5193,6132,601,939,1.0812103762499998,1.799018928868552,0.635,359.81,4232,2.880250252028854e-05,9.821991364257318e-05,4592,4591,0,1,9.096198702956661e-05,0.00011743201654135463,4804,4992,212,400,360,206
Dynamic34,6164,6685,7611,521,926,1.0514799450000003,2.0181956717850293,0.635,359.81,5804,2.2316247395512968e-05,0.00012510915905857738,6164,6104,0,60,0.00011289389103624536,0.00013451285414634544,6407,6520,243,356,247,148
Dynamic35,4582,5122,6058,540,936,1.0743127200000002,1.9894680000000002,0.635,359.81,4222,2.49258025112537e-05,0.00010029316123140934,4582,4563,0,19,0.00012883809379973847,0.00013712872883670857,4889,4968,307,386,296,358
Dynamic36,5334,5880,6832,546,952,1.11135528,2.0354492307692307,0.635,359.81,4974,2.9533019175501197e-05,0.00011186782770251298,5334,5282,0,52,0.00012380512096854488,0.0001410411481570063,5623,5758,289,424,342,170
Dynamic37,6566,7126,8051,560,925,1.0492101562500002,1.8735895647321432,0.635,359.81,6206,2.1987248573420678e-05,0.00012248965566724715,6566,6544,0,22,0.0001301168515704701,0.00015779916840823907,6890,6958,324,392,79,278
Dynamic38,3912,4428,5342,516,914,1.024404345,1.985279738372093,0.635,359.81,3552,2.1851808403448723e-05,0.0001446391789429426,3912,3894,0,18,7.707398063630611e-05,0.00017171875486044012,4131,4288,219,376,58,281
Dynamic39,3964,4560,5390,596,830,0.844763625,1.4173886325503358,0.635,359.81,3604,3.320581970048602e-05,0.0001567938061827365,3673,3921,291,43,0.00010791321508182782,0.00016400806257739457,4212,4356,248,392,347,276
Dynamic40,3546,4073,4952,527,879,0.9474510262500001,1.7978197841555978,0.635,359.81,3186,4.8913564783092694e-05,0.0001557059605845173,3546,3493,0,53,0.00010575228106391914,0.0001713763231159191,3765,3884,219,338,97,332
Dynamic41,3876,4366,5306,490,940,1.0835145,2.211254081632653,0.635,359.81,3516,3.211352860395234e-05,0.00021731063850760813,3876,3853,0,23,0.00012819564462003438,0.00019689019675907428,4043,3876,167,0,77,184
